Data,region,pair_wise_group,depth,n_planes,loc_MA,loc_MP,loc_LP,loc_LA,rotation
210315_YW006,aRSC,0,300',1,0;-1.17,0;-2.17,-0.67;-2.17,-0.67;-1.17,0
210401_YW006,aRSC,1,100',1,0;-1.17,0;-2.17,-0.67;-2.17,-0.67;-1.17,0
210402_YW006,pRSC,0,300',1,-0.23;-2.74,-0.23;-3.74,-0.9;-3.74,-0.9;-2.74,0
210409_YW006,pRSC,1,100',1,-0.23;-2.74,-0.23;-3.74,-0.9;-3.74,-0.9;-2.74,0
210402_YW008,aRSC,2,150',1,0;-1.13,0;-2.13,-0.67;-2.13,-0.67;-1.13,0
210407_YW008,pRSC,3,250',1,-0.28;-3.17,-0.28;-4.17,-0.95;-4.17,-0.95;-3.17,0
210409_YW008,pRSC,2,100',1,-0.28;-3.17,-0.28;-4.17,-0.95;-4.17,-0.95;-3.17,0
210416_YW008,aRSC,3,270',1,0;-1.13,0;-2.13,-0.67;-2.13,-0.67;-1.13,0
210604_YW010,aRSC,4,90',1,0;-1.22,0;-2.22,-0.67;-2.22,-0.67;-1.22,0
210610_YW010,pRSC,4,80',1,-0.12;-2.33,-0.12;-3.33,-0.79;-3.33,-0.79;-2.33,0
#210513_YW017,aRSC,,100',1,-0.22;-1.21,-0.22;-2.21,-0.89;-2.21,-0.89;-1.21,0
210514_YW017,pRSC,5,100',1,-0.2;-2.32,-0.2;-3.32,-0.87;-3.32,-0.87;-2.32,0
210519_YW017,aRSC,5,120',1,-0.22;-1.21,-0.22;-2.21,-0.89;-2.21,-0.89;-1.21,0
211202_YW022,aRSC,6,ETL,4,-0.2;-1.02,-0.2;-2.02,-0.87;-2.02,-0.87;-1.02,0
211209_YW022,pRSC,6,ETL,4,0;-2.61,0;-3.61,-0.67;-3.61,-0.67;-2.61,0
211203_YW032,aRSC,7,ETL,4,0;-1.38,0;-2.38,-0.67;-2.38,-0.67;-1.38,0
211208_YW032,pRSC,7,ETL,4,0;-2.94,0;-3.94,-0.67;-3.94,-0.67;-2.94,0
211202_YW033,aRSC,8,ETL,4,0;-1.2,0;-2.2,-0.67;-2.2,-0.67;-1.2,0
211208_YW033,pRSC,8,ETL,4,-0.1;-2.68,-0.1;-3.68,-0.77;-3.68,-0.77;-2.68,0
221018_YW048,aRSC,9,ETL,4,-0.05;-1.038,-0;-2.14,-0.66;-2.192,-0.78;-1.09,-5.1
221019_YW048,pRSC,9,ETL,4,-0.13;-2.59,0;-3.67,-0.71;-3.76,-0.83;-2.69,-6.9